Time,total_volume
11/2/2024,4151.41744786
11/3/2024,11888.64740429
11/4/2024,17641.19110308
11/5/2024,17932.2671597999
11/6/2024,65577.22975793
11/7/2024,29351.2662242098
11/8/2024,23824.9637013499
11/9/2024,7145.02414236998
11/10/2024,28251.6481987399
11/11/2024,53332.5287724817
11/12/2024,58570.32027497
11/13/2024,59121.1062393308
11/14/2024,33091.4407939996
11/15/2024,29298.4492666296
11/16/2024,10215.31332953
11/17/2024,10144.48609471
11/18/2024,26555.1641229698
11/19/2024,27673.6152533999
11/20/2024,34809.1016640597
11/21/2024,47580.5476645303
11/22/2024,40783.4168081902
11/23/2024,17708.4282284997
11/24/2024,13545.1983702898
11/25/2024,29502.6208636499
11/26/2024,26557.3741370297
11/27/2024,22278.7146089698
